"freq","source"
1173,"Twitter Web Client"
1164,"Twitter for Android"
720,"Twitter for iPhone"
469,"RoundTeam"
355,"TweetDeck"
228,"Facebook"
207,"Twitter for iPad"
188,"Pratopioggia Post"
117,"IFTTT"
115,"Twitter for Windows"
102,"Twitter for Windows Phone"
77,"dlvr.it"
73,"Hootsuite"
61,"WordPress.com"
53,"iOS"
24,"ProtCivComuneFi"
21,"Mobile Web (M5)"
20,"Twitter for Android Tablets"
12,"Tweetbot for iΟS"
11,"Twitterrific"
8,"Mobile Web (M2)"
8,"Twitter for Mac"
6,"SIRENETbrk"
6,"Twitter for BlackBerry®"
5,"SIRENET"
5,"TweetCaster for Android"
5,"Twitter for BlackBerry"
4,"Instagram"
4,"Mobile Web"
3,"PokeDemFollow"
3,"Twitter for  Android"
2,"Birdie App"
2,"Buffer"
2,"Tweetbot for Mac"
2,"tweetz"
1,"Echofon for Android PRO"
1,"FaceBOT-tw"
1,"Fenix for Android"
1,"Flipboard"
1,"Janetter for Android"
1,"Linkis.com"
1,"Muscolo Best"
1,"OS X"
1,"Samsung Mobile"
1,"TipTop App"
1,"Trendsmap Alerting"
1,"Twitter for Websites"
1,"YoruFukurou"
